ID,Name,trio
8bd495c7c6ae537f10539ee53e40c6454521d55f8ab7780a136a80d233b7491ei0,INKs #47,https://www.trio.xyz/inscriptions/8bd495c7c6ae537f10539ee53e40c6454521d55f8ab7780a136a80d233b7491ei0
e9b5df67688ffc876e62012977f7b695f0aa0d8919072b159a64d274dfb74b58i0,INKs #48,https://www.trio.xyz/inscriptions/e9b5df67688ffc876e62012977f7b695f0aa0d8919072b159a64d274dfb74b58i0
da8a59f30968ef8e8af176cada355374ba20ccf489d42f94fd72b738d712058di0,INKs #49,https://www.trio.xyz/inscriptions/da8a59f30968ef8e8af176cada355374ba20ccf489d42f94fd72b738d712058di0
7d075fb41e0fa4042f54cc1607ba899fc27764be174f8c1a5205e776e9618920i0,INKs #50,https://www.trio.xyz/inscriptions/7d075fb41e0fa4042f54cc1607ba899fc27764be174f8c1a5205e776e9618920i0
1176436eece287ab7b5e443937d6fb1976bac28d3b0cf7e9dedcc45ff15e4a16i0,INKs #51,https://www.trio.xyz/inscriptions/1176436eece287ab7b5e443937d6fb1976bac28d3b0cf7e9dedcc45ff15e4a16i0
02978c695fcc898891c9653234ef338cef51bb044efc208021767ae8418632b1i0,INKs #52,https://www.trio.xyz/inscriptions/02978c695fcc898891c9653234ef338cef51bb044efc208021767ae8418632b1i0
d0f8e231e443a775a470e1f4a1fb6798633e8552f6fcf5db27114eea178f074ci0,INKs #53,https://www.trio.xyz/inscriptions/d0f8e231e443a775a470e1f4a1fb6798633e8552f6fcf5db27114eea178f074ci0
e6f7df9a66cc9623a4392db2bfd02e1721a69d87a342bc1c97cad89b1e9eb235i0,INKs #54,https://www.trio.xyz/inscriptions/e6f7df9a66cc9623a4392db2bfd02e1721a69d87a342bc1c97cad89b1e9eb235i0
74293d4837cb48f0babef81766488a8b2cfb15d9a0f5fcd2709af28ce61af112i0,INKs #55,https://www.trio.xyz/inscriptions/74293d4837cb48f0babef81766488a8b2cfb15d9a0f5fcd2709af28ce61af112i0
81d1743d29306c7cbe3bdde9f3483ca553bec5a12503698750bc6458b5ae0936i0,INKs #56,https://www.trio.xyz/inscriptions/81d1743d29306c7cbe3bdde9f3483ca553bec5a12503698750bc6458b5ae0936i0
1082cd9d2386b63006026aefb97d45ba19607599a65677df3cba6c753850be27i0,INKs #57,https://www.trio.xyz/inscriptions/1082cd9d2386b63006026aefb97d45ba19607599a65677df3cba6c753850be27i0
22634760214f03f58c53462a2154e4a3541ac38323ca15bc896236173db6aecfi0,INKs #58,https://www.trio.xyz/inscriptions/22634760214f03f58c53462a2154e4a3541ac38323ca15bc896236173db6aecfi0
